Gamma,Tau,LR_Actor,LR_Critic,Batch_Size,Average_Reward
0.995,0.007,0.001,0.001,128,2596.357513974354
0.997,0.005,0.001,0.001,128,1386.5995346104248
1.0,0.005,0.001,0.001,64,470.3679757622242
0.995,0.01,0.001,0.001,128,1415.407237441561
0.99,0.01,0.001,0.001,128,1312.8702318102034
0.997,0.004,0.001,0.001,64,566.8040356274577
0.997,0.005,0.001,0.001,64,2461.1956481393304
1.0,0.005,0.0005,0.001,128,-49.17315482477201
0.99,0.005,0.0001,0.001,128,2622.962162057506
1.0,0.005,0.001,0.001,128,-257.09971217342854
1.0,0.005,0.0005,0.0005,256,-338.4001265446104
0.995,0.005,0.0001,0.001,128,1269.5371664239117
1.0,0.002,0.0005,0.001,64,475.9657024859253
0.995,0.002,0.0005,0.001,64,2260.6185407536686
1.0,0.01,0.0005,0.0005,64,-340.735453133879
