Gamma,Tau,LR_Actor,LR_Critic,Batch_Size,Average_Reward
0.995, 0.007, 0.001, 0.001, 128, -332.1687432150847
0.997, 0.005, 0.001, 0.001, 128, -342.77183887572585
1.0, 0.005, 0.001, 0.001, 64, -347.95682976015826
0.995, 0.01, 0.001, 0.001, 128, -348.46154648841923
0.99, 0.01, 0.001, 0.001, 128, -352.8162342360333
0.997, 0.004, 0.001, 0.001, 64, -360.6593954322497
0.997, 0.005, 0.001, 0.001, 64, -360.81851061512845
1.0, 0.005, 0.0005, 0.001, 128, -361.31851709001216
0.99, 0.005, 0.0001, 0.001, 128, -364.1968740551763
1.0, 0.005, 0.001, 0.001, 128, -365.29937502448803
1.0, 0.005, 0.0005, 0.0005, 256, -370.095411436442
0.995, 0.005, 0.0001, 0.001, 128, -377.837733153858
1.0, 0.002, 0.0005, 0.001, 64, -378.4989574582833
0.995, 0.002, 0.0005, 0.001, 64, -381.2812683709427
0.995, 0.004, 0.001, 0.001, 128, -385.8009984576761
0.99, 0.01, 0.001, 0.001, 256, -389.02843845620356
1.0, 0.005, 0.0001, 0.0005, 128, -393.4187496580167
0.995, 0.01, 0.0001, 0.001, 256, -393.58684905325174
0.997, 0.004, 0.001, 0.001, 128, -393.7700925776681
0.995, 0.005, 0.0001, 0.0005, 128, -394.34851826739373
1.0, 0.005, 0.001, 0.001, 256, -396.1559200601631
1.0, 0.002, 0.001, 0.001, 64, -397.1984871812515
0.995, 0.005, 0.001, 0.001, 128, -399.6134288249031
0.99, 0.002, 0.001, 0.001, 64, -399.64640539763957
0.995, 0.005, 0.001, 0.001, 128, -399.8709604999525
0.99, 0.002, 0.0005, 0.001, 64, -401.26740959867305
1.0, 0.005, 0.0001, 0.001, 256, -401.8590751289891
0.995, 0.002, 0.001, 0.0005, 128, -404.17997550981676
0.999, 0.004, 0.001, 0.001, 64, -406.1807328313506
0.99, 0.002, 0.0001, 0.001, 128, -407.2899141534057
1.0, 0.005, 0.0005, 0.001, 256, -408.0622869865587
0.995, 0.01, 0.0001, 0.001, 128, -409.4195689122657
1.0, 0.005, 0.0001, 0.001, 128, -416.14595234980516
1.0, 0.002, 0.0001, 0.001, 128, -420.3831957154453
0.995, 0.007, 0.001, 0.001, 64, -420.7748754602032
0.995, 0.002, 0.001, 0.001, 64, -422.2020923379591
0.995, 0.01, 0.001, 0.0005, 128, -424.7445689910071
0.995, 0.005, 0.001, 0.0005, 256, -427.46024128280243
1.0, 0.01, 0.0005, 0.001, 64, -430.11550759376127
0.995, 0.002, 0.001, 0.001, 256, -431.22591264250167
0.995, 0.005, 0.0005, 0.001, 64, -434.17966198631984
0.99, 0.01, 0.0001, 0.001, 128, -435.2533584670284
0.99, 0.002, 0.0001, 0.0005, 64, -439.667002264487
1.0, 0.002, 0.0001, 0.0005, 128, -440.8997074490172
0.999, 0.007, 0.001, 0.001, 128, -446.32203271865126
0.995, 0.01, 0.001, 0.0005, 256, -447.0623880797582
0.995, 0.002, 0.0001, 0.001, 128, -448.6140514126235
0.995, 0.01, 0.0005, 0.001, 128, -448.9847544551211
0.99, 0.005, 0.001, 0.001, 64, -449.46504871025286
0.995, 0.002, 0.0001, 0.001, 64, -452.4064774052014
0.99, 0.002, 0.0005, 0.001, 128, -465.85358802751676
0.99, 0.01, 0.0001, 0.0005, 256, -471.7177955226224
0.995, 0.002, 0.001, 0.001, 128, -475.70283599599225
0.99, 0.005, 0.0001, 0.001, 64, -477.8715461216254
0.995, 0.01, 0.001, 0.001, 64, -481.28404655188126
0.99, 0.002, 0.001, 0.0005, 128, -484.08394174083196
0.997, 0.007, 0.001, 0.001, 128, -490.41801666550055
1.0, 0.002, 0.0001, 0.001, 256, -490.82884455201
0.995, 0.005, 0.0005, 0.001, 256, -491.2946420740148
1.0, 0.01, 0.0005, 0.001, 256, -497.1714009615652
0.99, 0.002, 0.001, 0.001, 128, -498.35100001614694
0.99, 0.005, 0.001, 0.0005, 256, -502.43991752634133
1.0, 0.002, 0.001, 0.0005, 256, -502.7119361611248
1.0, 0.01, 0.0001, 0.001, 256, -502.9998253995564
0.999, 0.007, 0.001, 0.001, 64, -505.00628114150237
0.995, 0.002, 0.0005, 0.001, 256, -510.5974379848495
